,trade_date,total_mv,pe
184,20201216,31889.790000,93.44
185,20201215,31806.220000,93.29
186,20201214,31843.260000,93.36
187,20201211,31394.970000,92.37
188,20201210,31484.900000,92.75
189,20201209,31289.690000,92.46
190,20201208,31920.580000,94.28
191,20201207,31937.510000,94.07
192,20201204,31795.240000,93.84
193,20201203,31849.800000,94.02
194,20201202,31984.160000,94.37
195,20201201,31600.040000,93.89
196,20201130,31093.230000,92.31
197,20201127,30991.500000,92.03
198,20201126,30955.120000,91.77
199,20201125,31114.190000,92.18
200,20201124,31539.420000,93.60
201,20201123,30980.770000,92.94
202,20201120,31147.830000,93.41
203,20201119,31009.780000,93.21
204,20201118,30808.610000,92.43
205,20201117,30694.230000,92.38
206,20201116,31051.680000,93.47
207,20201113,30930.270000,93.01
208,20201112,30546.990000,91.67
209,20201111,30472.530000,91.48
210,20201110,31437.130000,94.96
211,20201109,32116.050000,97.04
212,20201106,30707.210000,93.08
213,20201105,31085.270000,94.56
214,20201104,30596.030000,93.43
215,20201103,30624.160000,93.34
216,20201102,29652.360000,90.36
217,20201030,29630.700000,90.30
218,20201029,29728.610000,91.07
219,20201028,29399.620000,90.84
220,20201027,29238.810000,90.18
221,20201026,28705.020000,88.54
222,20201023,28361.690000,87.62
223,20201022,29294.390000,90.58
224,20201021,29495.950000,91.67
225,20201020,30059.630000,93.57
226,20201019,29968.860000,93.13
227,20201016,30188.510000,94.05
228,20201015,30292.830000,94.53
229,20201014,30635.370000,96.67
230,20201013,30941.960000,97.51
231,20201012,30827.130000,97.10
232,20201009,29758.100000,94.01
233,20200930,28753.680000,90.86
234,20200929,28517.670000,90.28
235,20200928,27887.740000,88.12
236,20200925,28470.070000,89.97
237,20200924,29067.830000,91.89
238,20200923,29811.030000,94.19
239,20200922,29097.610000,92.08
240,20200921,29222.230000,93.32
241,20200918,29191.360000,93.55
242,20200917,28872.780000,92.57
243,20200916,27904.590000,89.66
244,20200915,28070.650000,90.36
245,20200914,27769.640000,89.20
246,20200911,27182.200000,87.39
247,20200910,26389.870000,84.85
248,20200909,26886.600000,86.45
249,20200908,27870.700000,90.41
250,20200907,27951.190000,90.86
251,20200904,29071.710000,94.08
252,20200903,28911.160000,94.21
253,20200902,28740.430000,94.54
254,20200901,28800.840000,95.61
255,20200831,28881.960000,95.84
256,20200828,28590.770000,95.32
257,20200827,28042.980000,93.89
258,20200826,27398.070000,92.16
259,20200825,28442.170000,95.37
260,20200824,28917.340000,96.37
261,20200821,29183.410000,96.86
262,20200820,29105.810000,96.67
263,20200819,29706.050000,98.90
264,20200818,30599.570000,101.66
265,20200817,29527.850000,100.73
266,20200814,28829.960000,99.82
267,20200813,28698.040000,99.07
268,20200812,28400.220000,99.24
269,20200811,27981.780000,100.18
270,20200810,28683.270000,102.73
271,20200807,28407.990000,102.21
272,20200806,29470.650000,105.74
273,20200805,29743.290000,106.83
274,20200804,29346.200000,105.29
275,20200803,30099.500000,108.14
276,20200731,28692.850000,102.42
277,20200730,27686.770000,99.51
278,20200729,27555.340000,99.10
279,20200728,25899.430000,93.83
280,20200727,25461.890000,92.23
281,20200724,25952.710000,93.28
282,20200723,27890.680000,100.11
283,20200722,27965.450000,100.44
284,20200721,26223.520000,99.48
285,20200720,25388.030000,97.66
286,20200717,24253.340000,96.28
287,20200716,24305.820000,97.15
288,20200715,25287.430000,101.61
289,20200714,26068.720000,108.56
290,20200713,25899.610000,109.19
291,20200710,24497.420000,104.45
292,20200709,24446.110000,104.73
293,20200708,23278.530000,99.65
294,20200707,22486.590000,97.76
295,20200706,21672.540000,96.00
296,20200703,20158.920000,89.58
297,20200702,20155.540000,89.77
298,20200701,20118.810000,89.48
299,20200630,20063.920000,89.55
300,20200629,19525.070000,87.29
301,20200624,19680.780000,88.30
302,20200623,19407.090000,87.13
303,20200622,18948.160000,85.16
304,20200619,17991.870000,82.72
305,20200618,17566.370000,81.25
306,20200617,17546.340000,80.96
307,20200616,17584.290000,80.95
308,20200615,16888.350000,78.27
309,20200612,17080.360000,79.10
310,20200611,17147.260000,79.57
311,20200610,17105.680000,79.58
312,20200609,16857.240000,81.02
313,20200608,16706.030000,81.13
314,20200605,16851.370000,82.04
315,20200604,16839.880000,81.99
316,20200603,16887.130000,81.59
317,20200602,16996.470000,82.04
318,20200601,16836.160000,81.77
319,20200529,15980.830000,77.70
320,20200528,15818.310000,76.82
321,20200527,15904.270000,77.76
322,20200526,16072.470000,78.83
323,20200525,15209.630000,74.90
324,20200522,15505.480000,76.35
325,20200521,15811.240000,77.92
326,20200520,16334.940000,80.90
327,20200519,16502.010000,81.80
328,20200518,15584.870000,77.30
329,20200515,15694.800000,78.72
330,20200514,15312.330000,76.79
331,20200513,15360.950000,77.08
332,20200512,15081.610000,75.78
333,20200511,15016.740000,75.43
334,20200508,14924.130000,75.63
335,20200507,14696.880000,74.73
336,20200506,15009.480000,76.28
337,20200430,13895.610000,93.26
338,20200429,13043.830000,87.45
339,20200428,13057.270000,88.17
340,20200427,13369.340000,90.37
341,20200424,13316.730000,90.93
342,20200423,13330.430000,91.00
343,20200422,13156.540000,89.78
344,20200421,12901.460000,88.02
345,20200420,13062.380000,89.13
346,20200417,12620.930000,86.13
347,20200416,12417.120000,84.66
348,20200415,12179.470000,83.36
349,20200414,12034.520000,82.33
350,20200413,11717.800000,80.14
351,20200410,11908.290000,81.43
352,20200409,12368.960000,84.53
353,20200408,12288.410000,84.67
354,20200407,12328.510000,85.00
355,20200403,12004.740000,82.74
356,20200402,12206.360000,84.23
357,20200401,11564.940000,79.77
358,20200331,11485.740000,79.19
359,20200330,11534.770000,79.50
360,20200327,12057.570000,83.04
361,20200326,12152.050000,84.00
362,20200325,12199.990000,84.61
363,20200324,11820.230000,81.93
364,20200323,11571.470000,80.30
365,20200320,12611.850000,87.61
366,20200319,12566.210000,87.71
367,20200318,12381.850000,86.47
368,20200317,12607.100000,88.02
369,20200316,12436.530000,86.81
370,20200313,13035.490000,91.06
371,20200312,12977.210000,90.53
372,20200311,13179.830000,91.87
373,20200310,13575.060000,94.66
374,20200309,13091.850000,91.05
375,20200306,13912.730000,96.91
376,20200305,14129.400000,98.46
377,20200304,14050.620000,97.86
378,20200303,14383.710000,100.55
379,20200302,14003.630000,97.83
380,20200228,13426.660000,93.80
381,20200227,14083.090000,98.47
382,20200226,14025.220000,101.01
383,20200225,14784.360000,107.20
384,20200224,14542.520000,105.44
385,20200221,14457.720000,104.80
386,20200220,13800.560000,104.91
387,20200219,14192.930000,107.91
388,20200218,14547.990000,110.65
389,20200217,14200.570000,108.72
390,20200214,13734.910000,105.59
391,20200213,14080.780000,108.35
392,20200212,13646.710000,107.75
393,20200211,12899.630000,102.18
394,20200210,13112.420000,105.24
395,20200207,13008.280000,104.48
396,20200206,12249.070000,98.25
397,20200205,11939.470000,95.63
398,20200204,11316.510000,91.12
399,20200203,10079.260000,81.19
400,20200123,11721.860000,94.48
401,20200122,11875.100000,97.55
402,20200121,11340.760000,93.56
403,20200120,11527.680000,96.51
404,20200117,11213.280000,94.49
405,20200116,10273.970000,86.69
406,20200115,9847.920000,83.10
407,20200114,9859.620000,83.20
408,20200113,9680.550000,82.23
409,20200110,9378.150000,79.66
410,20200109,9402.660000,79.87
411,20200108,9171.530000,77.90
412,20200107,9102.360000,77.32
413,20200106,8984.270000,76.31
414,20200103,8861.410000,76.28
415,20200102,8845.100000,76.14
416,20191231,8637.640000,74.36
417,20191230,8578.420000,73.85
418,20191227,8597.450000,74.21
419,20191226,8699.050000,75.09
420,20191225,8557.510000,74.30
421,20191224,8321.710000,72.25
422,20191223,8102.840000,70.35
423,20191220,8416.430000,73.56
424,20191219,8465.580000,73.99
425,20191218,8582.920000,75.66
426,20191217,8288.920000,73.07
427,20191216,8208.690000,72.36
428,20191213,7965.330000,70.40
429,20191212,7978.660000,70.52
430,20191211,7959.040000,70.35
431,20191210,8007.550000,71.49
432,20191209,7587.300000,67.74
433,20191206,7201.900000,64.79
434,20191205,7169.990000,64.50
435,20191204,7094.880000,64.19
436,20191203,6929.380000,63.24
437,20191202,6984.550000,64.63
438,20191129,7041.250000,65.16
439,20191128,7003.430000,64.81
440,20191127,6944.210000,64.26
441,20191126,6899.910000,63.85
442,20191125,6927.700000,64.11
443,20191122,7078.070000,65.50
444,20191121,7246.750000,67.06
445,20191120,7329.780000,68.68
446,20191119,7340.580000,69.18
447,20191118,7175.310000,67.63
448,20191115,6703.760000,65.09
449,20191114,6636.830000,65.97
450,20191113,6585.090000,65.46
451,20191112,6418.730000,63.81
452,20191111,6472.190000,64.34
453,20191108,6801.610000,67.61
454,20191107,6619.140000,66.28
455,20191106,6445.020000,64.54
456,20191105,6006.540000,64.10
457,20191104,5808.380000,66.24
458,20191101,5708.140000,65.10
459,20191031,5639.640000,64.70
460,20191030,5790.830000,67.72
461,20191029,5663.930000,69.58
462,20191028,5885.480000,72.30
463,20191025,5564.800000,69.11
464,20191024,5589.670000,70.41
465,20191023,5698.370000,71.78
466,20191022,5361.050000,67.53
467,20191021,5304.050000,66.81
468,20191018,5480.620000,69.04
469,20191017,5394.450000,67.95
470,20191016,5477.360000,69.00
471,20191015,5662.170000,71.32
472,20191014,5776.620000,72.77
473,20191011,5614.380000,71.45
474,20191010,5703.780000,72.59
475,20191009,5616.280000,71.48
476,20191008,5569.900000,70.89
477,20190930,5790.790000,73.70
478,20190927,5543.980000,78.27
479,20190926,5452.470000,76.98
480,20190925,5916.130000,83.53
481,20190924,6001.430000,85.55
482,20190923,5791.980000,82.56
483,20190920,5823.310000,83.01
484,20190919,5810.360000,82.82
485,20190918,5709.800000,81.39
486,20190917,5815.200000,82.89
487,20190916,5947.080000,84.77
488,20190912,5907.730000,84.21
489,20190911,6103.690000,87.01
490,20190910,6157.470000,87.77
491,20190909,6122.150000,87.27
492,20190906,6056.070000,86.33
493,20190905,6171.850000,88.76
494,20190904,6132.530000,88.19
495,20190903,6242.570000,89.77
496,20190902,5846.740000,84.08
497,20190830,5780.270000,83.12
498,20190829,5804.990000,83.48
499,20190828,5840.080000,83.98
500,20190827,6001.290000,86.30
501,20190826,5944.010000,85.48
502,20190823,5863.890000,84.33
503,20190822,6203.890000,89.22
504,20190821,6275.490000,90.25
505,20190820,6732.510000,96.82
506,20190819,6809.010000,97.92
507,20190816,6831.680000,98.24
508,20190815,6901.990000,99.26
509,20190814,6859.280000,98.64
510,20190813,6746.800000,97.02
511,20190812,6660.730000,95.79
512,20190809,6508.550000,94.02
513,20190808,6723.930000,97.13
514,20190807,6223.390000,95.73
515,20190806,6098.920000,93.82
516,20190805,6689.000000,102.90
517,20190802,6359.440000,97.83
518,20190801,5942.320000,91.41
519,20190731,5606.980000,86.25
520,20190730,5462.050000,84.02
521,20190729,5342.050000,82.18
522,20190726,5000.560000,76.92
523,20190725,5373.120000,82.65
524,20190724,5135.780000,79.00
525,20190723,4821.950000,74.18
526,20190722,5293.390000,81.43
